YEAR,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE
1992,213.9245923,260.7883144,205.7964189,263.3070669
1996,236.6882899,279.7953048,219.5243105,263.6649175
2003,238.8424051,281.0030807,220.0157173,263.9762469
2005,239.5481341,281.6081489,220.3862793,264.1854574
2007,239.9612215,282.246673,220.7625197,264.5845964
2009,240.1226858,282.5698842,220.8440731,265.0667574
2011,240.3750366,282.7493472,221.1090014,265.5224622
2013,240.3412633,282.5039125,221.3976958,265.753533
2015,239.5738816,281.8052205,221.5714303,265.2944823
2017,239.2027835,281.8789929,221.095513,265.6320937
