PRIMARY_KEY,STATE,YEAR,ENROLL,TOTAL_REVENUE,FEDERAL_REVENUE,STATE_REVENUE,LOCAL_REVENUE,TOTAL_EXPENDITURE,INSTRUCTION_EXPENDITURE,SUPPORT_SERVICES_EXPENDITURE,OTHER_EXPENDITURE,CAPITAL_OUTLAY_EXPENDITURE,GRADES_PK_G,GRADES_KG_G,GRADES_4_G,GRADES_8_G,GRADES_12_G,GRADES_1_8_G,GRADES_9_12_G,GRADES_ALL_G,GRADES_PK_AM,GRADES_KG_AM,GRADES_4_AM,GRADES_8_AM,GRADES_12_AM,GRADES_1_8_AM,GRADES_9_12_AM,GRADES_ALL_AM,GRADES_PK_AS,GRADES_KG_AS,GRADES_4_AS,GRADES_8_AS,GRADES_12_AS,GRADES_1_8_AS,GRADES_9_12_AS,GRADES_ALL_AS,GRADES_PK_HI,GRADES_KG_HI,GRADES_4_HI,GRADES_8_HI,GRADES_12_HI,GRADES_1_8_HI,GRADES_9_12_HI,GRADES_ALL_HI,GRADES_PK_BL,GRADES_KG_BL,GRADES_4_BL,GRADES_8_BL,GRADES_12_BL,GRADES_1_8_BL,GRADES_9_12_BL,GRADES_ALL_BL,GRADES_PK_WH,GRADES_KG_WH,GRADES_4_WH,GRADES_8_WH,GRADES_12_WH,GRADES_1_8_WH,GRADES_9_12_WH,GRADES_ALL_WH,GRADES_PK_HP,GRADES_KG_HP,GRADES_4_HP,GRADES_8_HP,GRADES_12_HP,GRADES_1_8_HP,GRADES_9_12_HP,GRADES_ALL_HP,GRADES_PK_TR,GRADES_KG_TR,GRADES_4_TR,GRADES_8_TR,GRADES_12_TR,GRADES_1_8_TR,GRADES_9_12_TR,GRADES_ALL_TR,GRADES_PK_AMM,GRADES_KG_AMM,GRADES_4_AMM,GRADES_8_AMM,GRADES_12_AMM,GRADES_1_8_AMM,GRADES_9_12_AMM,GRADES_ALL_AMM,GRADES_PK_AMF,GRADES_KG_AMF,GRADES_4_AMF,GRADES_8_AMF,GRADES_12_AMF,GRADES_1_8_AMF,GRADES_9_12_AMF,GRADES_ALL_AMF,GRADES_PK_ASM,GRADES_KG_ASM,GRADES_4_ASM,GRADES_8_ASM,GRADES_12_ASM,GRADES_1_8_ASM,GRADES_9_12_ASM,GRADES_ALL_ASM,GRADES_PK_ASF,GRADES_KG_ASF,GRADES_4_ASF,GRADES_8_ASF,GRADES_12_ASF,GRADES_1_8_ASF,GRADES_9_12_ASF,GRADES_ALL_ASF,GRADES_PK_HIM,GRADES_KG_HIM,GRADES_4_HIM,GRADES_8_HIM,GRADES_12_HIM,GRADES_1_8_HIM,GRADES_9_12_HIM,GRADES_ALL_HIM,GRADES_PK_HIF,GRADES_KG_HIF,GRADES_4_HIF,GRADES_8_HIF,GRADES_12_HIF,GRADES_1_8_HIF,GRADES_9_12_HIF,GRADES_ALL_HIF,GRADES_PK_BLM,GRADES_KG_BLM,GRADES_4_BLM,GRADES_8_BLM,GRADES_12_BLM,GRADES_1_8_BLM,GRADES_9_12_BLM,GRADES_ALL_BLM,GRADES_PK_BLF,GRADES_KG_BLF,GRADES_4_BLF,GRADES_8_BLF,GRADES_12_BLF,GRADES_1_8_BLF,GRADES_9_12_BLF,GRADES_ALL_BLF,GRADES_PK_WHM,GRADES_KG_WHM,GRADES_4_WHM,GRADES_8_WHM,GRADES_12_WHM,GRADES_1_8_WHM,GRADES_9_12_WHM,GRADES_ALL_WHM,GRADES_PK_WHF,GRADES_KG_WHF,GRADES_4_WHF,GRADES_8_WHF,GRADES_12_WHF,GRADES_1_8_WHF,GRADES_9_12_WHF,GRADES_ALL_WHF,GRADES_PK_HPM,GRADES_KG_HPM,GRADES_4_HPM,GRADES_8_HPM,GRADES_12_HPM,GRADES_1_8_HPM,GRADES_9_12_HPM,GRADES_ALL_HPM,GRADES_PK_HPF,GRADES_KG_HPF,GRADES_4_HPF,GRADES_8_HPF,GRADES_12_HPF,GRADES_1_8_HPF,GRADES_9_12_HPF,GRADES_ALL_HPF,GRADES_PK_TRM,GRADES_KG_TRM,GRADES_4_TRM,GRADES_8_TRM,GRADES_12_TRM,GRADES_1_8_TRM,GRADES_9_12_TRM,GRADES_ALL_TRM,GRADES_PK_TRF,GRADES_KG_TRF,GRADES_4_TRF,GRADES_8_TRF,GRADES_12_TRF,GRADES_1_8_TRF,GRADES_9_12_TRF,GRADES_ALL_TRF,AVG_MATH_4_SCORE,AVG_MATH_8_SCORE,AVG_READING_4_SCORE,AVG_READING_8_SCORE
1992_ALASKA,ALASKA,1992,,1049591,106780,720711,222100,972488,498362,350902,,37451,2371,10152,9748,8789,6714,79117,30847,112335,1457,2624,2175,1853,1323,17664,6391,25512,55,395,389,367,324,3090,1350,4495,26,229,204,182,159,1816,704,2546,60,481,449,422,287,3826,1388,5274,773,6423,6531,5965,4621,52721,21014,74508,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,258.8597125
1992_ARIZONA,ARIZONA,1992,,3258079,297888,1369815,1590376,3401580,1435908,1007732,,609114,2544,53497,55433,49081,37410,437127,175210,614881,250,3674,3946,3230,2234,30133,10686,41069,20,754,822,734,823,6446,3340,9806,718,15501,14877,12964,8893,117781,45310,163809,85,2275,2173,1888,1524,17696,6885,24666,1471,31293,33615,30265,23936,265071,108989,375531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215.253932,265.3662778,206.2127155,262.1698947
1992_ARKANSAS,ARKANSAS,1992,,1711959,178571,958785,574603,1743022,964323,483488,,145212,808,33511,34632,36011,27651,281338,123113,405259,2,84,84,146,67,828,382,1212,7,199,214,216,224,1792,902,2701,11,370,278,233,168,2121,732,2864,414,7945,8289,8828,6184,67864,28209,96487,374,24913,25767,26588,21008,208733,92888,301995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,210.2060281,256.3120904,208.6344584,264.6196647
1992_COLORADO,COLORADO,1992,,3185173,163253,1307986,1713934,3264826,1642466,1035970,,364760,7410,47588,50648,45025,34533,394904,160299,562613,107,518,486,408,281,3823,1362,5292,184,1014,1134,969,1020,9026,4252,13462,2224,8495,8500,7395,4614,66349,25139,93712,854,2721,2727,2361,1532,21153,8160,30167,4041,34840,37801,33892,27086,294553,121386,419980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221.0234291,272.3984329,213.4808903,266.4196869
1992_CONNECTICUT,CONNECTICUT,1992,,3834302,143542,1342539,2348221,3721338,2148041,1142600,,48542,5731,41319,38058,33691,28366,304284,126917,436932,5,54,54,95,78,623,430,1058,123,879,902,764,703,7010,3074,10207,1171,4656,3927,3454,1975,32608,11832,45611,1306,5088,4794,4300,2991,38460,15597,55363,3126,30642,28381,25078,22619,225583,95984,324693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.79848,273.7393446,222.4175986,264.7139043
1992_DELAWARE,DELAWARE,1992,,645233,45945,420942,178346,638784,372722,194915,,30595,463,8025,8272,8012,6129,67495,28338,96296,1,62,14,18,11,113,53,167,1,126,135,115,132,1079,520,1600,23,273,298,265,182,2179,856,3058,175,2290,2467,2215,1401,19320,7536,27031,263,5274,5358,5399,4403,44804,19373,64440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217.8999724,262.8685854,206.3890517,261.5779209
1992_DISTRICT_OF_COLUMBIA,DISTRICT_OF_COLUMBIA,1992,,709480,64749,0,644731,742893,329160,316679,,47272,4818,6667,5832,5000,3433,47009,18173,70000,1,2,1,0,1,8,5,14,49,88,91,57,52,549,315,913,281,428,319,241,186,2524,1138,3943,4246,5756,5154,4575,3102,41931,16302,62479,241,393,267,127,92,1997,413,2651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192.6005531,234.9246213,178.5576117,265.976765
1992_FLORIDA,FLORIDA,1992,,11506299,788420,5683949,5033930,11305642,5166374,3410440,,1667826,31464,161701,164416,142372,100835,1276685,511557,1819706,48,323,276,296,175,2199,954,3201,281,2182,2555,2396,2398,19626,10420,30327,4537,20845,22069,19037,13977,166926,71736,243199,13667,40274,40539,33956,21367,312537,118312,444516,12931,98077,98977,86687,62918,775397,310135,1098463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213.6897512,259.9088482,204.8826063,262.1189861
1996_ALABAMA,ALABAMA,1996,735912,3365113,334858,2138717,891538,3572283,1987018,935115,322883,286699,9633,60949,57098,58305,42510,469370,207980,686983,,203,331,497,453,2949,2069,,,329,355,368,319,2771,1425,,,536,374,365,187,3214,1023,,,21787,19915,20194,14061,166107,73626,,,34998,34668,35419,26487,281933,124876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.6469735,256.5948632,210.9207675,260.2764414
1996_ALASKA,ALASKA,1996,126189,1120346,123505,706116,290725,1240031,636959,365085,38996,179297,2186,10451,10055,9627,7370,81725,35557,119468,1278,3025,2513,2234,1499,20363,7580,29221,55,410,465,448,394,3738,1677,5470,45,334,281,253,199,2388,947,3380,52,536,484,405,363,3936,1635,5623,756,6146,6312,6287,4915,51300,23718,75774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,223.8334546,277.6430714,,262.1004242
